chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classes_BC
org/jfree/data/xy/,YWithXInterval.java,3,121,40.333332,9,4.4814816
org/jfree/data/xy/,XYItemKey.java,7,142,20.285715,11,1.8441559
org/jfree/data/resources/,DataPackageResources_es.java,7,59,8.428572,4,2.107143
org/jfree/data/time/,DynamicTimeSeriesCollection.java,14,926,66.14286,57,1.1604011
org/jfree/data/xy/,CategoryTableXYDataset.java,11,400,36.363636,25,1.4545455
org/jfree/data/category/,CategoryRangeInfo.java,7,55,7.857143,5,1.5714285
org/jfree/data/time/,TimePeriodValue.java,4,179,44.75,10,4.475
org/jfree/data/xy/,XYDomainInfo.java,6,49,8.166667,5,1.6333334
org/jfree/data/xml/,PieDatasetHandler.java,7,124,17.714285,8,2.2142856
org/jfree/data/statistics/,DefaultMultiValueCategoryDataset.java,196,184,0.93877554,31,0.030283082
org/jfree/data/general/,HeatMapUtils.java,50,69,1.38,7,0.19714285
org/jfree/data/general/,AbstractDataset.java,8,228,28.5,33,0.8636364
org/jfree/data/flow/,NodeKey.java,7,142,20.285715,14,1.4489796
org/jfree/data/xy/,XYDatasetTableModel.java,7,246,35.142857,20,1.7571428
org/jfree/data/time/,Millisecond.java,8,438,54.75,33,1.6590909
org/jfree/data/xy/,VectorXYDataset.java,6,67,11.166667,6,1.8611112
org/jfree/data/flow/,package-info.java,1,3,3.0,1,3.0
org/jfree/data/statistics/,StatisticalCategoryDataset.java,9,71,7.888889,4,1.9722222
org/jfree/data/resources/,DataPackageResources_pl.java,7,59,8.428572,4,2.107143
org/jfree/data/statistics/,MeanAndStandardDeviation.java,4,172,43.0,10,4.3
org/jfree/data/time/,TimeSeriesTableModel.java,6,256,42.666668,35,1.2190477
org/jfree/data/xy/,XYSeries.java,13,943,72.53846,112,0.64766484
org/jfree/data/xy/,YisSymbolic.java,6,67,11.166667,6,1.8611112
org/jfree/data/xy/,XYInterval.java,3,152,50.666668,11,4.6060605
org/jfree/data/time/,TimePeriodValuesCollection.java,12,428,35.666668,38,0.93859655
org/jfree/data/xy/,XIntervalSeries.java,40,122,3.05,15,0.20333333
org/jfree/data/xy/,VectorDataItem.java,36,81,2.25,8,0.28125
org/jfree/data/time/,TimePeriodAnchor.java,2,49,24.5,4,6.125
org/jfree/data/xy/,NormalizedMatrixSeries.java,2,143,71.5,5,14.3
org/jfree/data/general/,DatasetChangeEvent.java,11,69,6.2727275,4,1.5681819
org/jfree/data/xy/,XYRangeInfo.java,6,50,8.333333,5,1.6666666
org/jfree/data/general/,DefaultValueDataset.java,6,131,21.833334,9,2.425926
org/jfree/data/statistics/,BoxAndWhiskerItem.java,6,286,47.666668,17,2.8039217
org/jfree/data/xy/,YIntervalSeries.java,39,124,3.1794872,15,0.21196581
org/jfree/data/time/,TimeSeriesCollection.java,18,691,38.38889,52,0.7382479
org/jfree/data/time/,Week.java,8,645,80.625,62,1.3004032
org/jfree/data/xy/,OHLCDataItem.java,5,193,38.6,16,2.4125
org/jfree/data/resources/,DataPackageResources_fr.java,7,57,8.142858,4,2.0357144
org/jfree/data/time/,Minute.java,8,481,60.125,32,1.8789062
org/jfree/data/flow/,DefaultFlowDataset.java,17,354,20.82353,32,0.6507353
org/jfree/data/category/,CategoryDataset.java,6,59,9.833333,4,2.4583333
org/jfree/data/time/,TimePeriod.java,6,51,8.5,4,2.125
org/jfree/data/general/,SeriesChangeEvent.java,4,56,14.0,4,3.5
org/jfree/data/time/,TimePeriodFormatException.java,6,43,7.1666665,4,1.7916666
org/jfree/data/time/,Hour.java,8,472,59.0,34,1.7352941
org/jfree/data/category/,DefaultIntervalCategoryDataset.java,12,790,65.833336,64,1.0286459
